Country,Color,,,,,,,,,,,,
Afghanistan,#318CE7,,,,,,,,,,,,
Albania,#ACE5EE,,,,,,,,,,,,
Algeria,#FAF0BE,,,,,,,,,,,,
American Samoa,#660000,,,,,,,,,,,,
Andorra,#0000FF,,,,,,,,,,,,
Angola,#1F75FE,,,,,,,,,,,,
Anguilla,#0093AF,,,,,,,,,,,,
Antigua and Barbuda,#0087BD,,,,,,,,,,,,
Argentina,#0018A8,,,,,,,,,,,,
Armenia,#333399,,,,,,,,,,,,
Aruba,#0247FE,,,,,,,,,,,,
Australia,#A2A2D0,,,,,,,,,,,,
Austria,#6699CC,,,,,,,,,,,,
Azerbaijan,#0D98BA,,,,,,,,,,,,
Bahamas,#064E40,,,,,,,,,,,,
Bahrain,#5DADEC,,,,,,,,,,,,
Bangladesh,#126180,,,,,,,,,,,,
Barbados,#8A2BE2,,,,,,,,,,,,
Belarus,#7366BD,,,,,,,,,,,,
Belgium,#4D1A7F,,,,,,,,,,,,
Belize,#5072A7,,,,,,,,,,,,
Benin,#3C69E7,,,,,,,,,,,,
Bermuda,#DE5D83,,,,,,,,,,,,
Bhutan,#79443B,,,,,,,,,,,,
Bolivia (Plurinational State of),#E3DAC9,,,,,,,,,,,,
"Bonaire, Sint Eustatius and Saba",#006A4E,,,,,,,,,,,,
Bosnia and Herzegovina,#87413F,,,,,,,,,,,,
Botswana,#CB4154,,,,,,,,,,,,
Brazil,#66FF00,,,,,,,,,,,,
British Virgin Islands,#D891EF,,,,,,,,,,,,
Brunei Darussalam,#C32148,,,,,,,,,,,,
Bulgaria,#1974D2,,,,,,,,,,,,
Burkina Faso,#FFAA1D,,,,,,,,,,,,
Burundi,#FF55A3,,,,,,,,,,,,
Cabo Verde,#FB607F,,,,,,,,,,,,
Cambodia,#004225,,,,,,,,,,,,
Cameroon,#CD7F32,,,,,,,,,,,,
Canada,#88540B,,,,,,,,,,,,
Cayman Islands,#AF6E4D,,,,,,,,,,,,
Central African Republic,#1B4D3E,,,,,,,,,,,,
Chad,#7BB661,,,,,,,,,,,,
Chile,#FFC680,,,,,,,,,,,,
China,#800020,,,,,,,,,,,,
Colombia,#DEB887,,,,,,,,,,,,
Comoros,#A17A74,,,,,,,,,,,,
Congo,#CC5500,,,,,,,,,,,,
